name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,,
Modern Flat 30m to Istiklal- Taksim,Hakan,Beyoglu,41.0339,28.9826,Entire home/apt,459,30,0,,365,,
Apartment in the Heart of the City2,ISlK,Beyoglu,41.03915,28.98273,Entire home/apt,247,2,99,1.36,365,,
Studio in the Heart of the City 1,ISlK,Beyoglu,41.03911,28.98266,Entire home/apt,254,2,147,1.96,365,,
A single room in Istanbul - Kadikoy,Ferhat,Kadikoy,40.99407,29.03697,Private room,267,2,0,,365,,
Charming Delightful Studio@Centre 2,Demir,Beyoglu,41.02752,28.97705,Entire home/apt,240,1,126,1.25,365,,
"Invitation to Travel: Luxury, Quiet",Yves & Fatos,Beyoglu,41.03499,28.97238,Entire home/apt,733,7,11,0.11,1,,
Historic mansion center of Buyukada,Aysen,Adalar,40.87361,29.13289,Entire home/apt,734,2,25,0.26,315,,
"truly unique accommodation,Istanbul",Filiz,Besiktas,41.0555,28.99978,Private room,1152,1,0,,365,,
"Lot's of Light, Lot's of Green!",Can,Sariyer,41.08679,29.05244,Private room,144,7,10,0.11,364,,
"Bright flat, great view! Kadikoy",Adelaide And Ali,Kadikoy,40.99609,29.0278,Entire home/apt,500,3,72,0.72,1,,
Charming Delightful Studio@Centre 1,Demir,Beyoglu,41.02728,28.97705,Entire home/apt,192,2,67,0.67,365,,
Central Apt. in Popular Nisantaşı,Jülide,Sisli,41.0493,28.99618,Private room,377,3,6,0.06,0,,
Istanbul Postcard View (Asian Side),Baris,Uskudar,41.01502,29.01303,Entire home/apt,514,5,22,0.23,364,,
CasaLoBueno#1 Splendid Galata Tower,Doret & Izel,Beyoglu,41.0295,28.97351,Entire home/apt,837,4,70,0.71,362,,
Cozy Room ANGORA - Single @ Kaboom Guest House,Kaboom Guest House,Beyoglu,41.03519,28.97177,Private room,144,2,8,0.09,364,,
Cute apartment in center of Beyoglu,Nahide,Beyoglu,41.03255,28.98032,Entire home/apt,384,3,95,0.97,365,,
Cozy Flat 1BR @Taksim Square,Aslinaz,Beyoglu,41.03666,28.98093,Entire home/apt,309,2,63,0.65,362,,
FURNISHED TRIPLEX TAKSIM.LANDLORD,Sevil,Beyoglu,41.0292,28.98104,Entire home/apt,411,3,61,0.62,365,,
2+1 istiklal street/taksim central,Sevil,Beyoglu,41.03174,28.97717,Entire home/apt,658,3,20,1.68,0,,
Rooms for rent in Nişantaşı Şişli,Sanem,Sisli,41.05485,28.99202,Private room,309,2,1,0.01,365,,
"Minutes walk to center, 2 BDRM Apt",Cheng,Beyoglu,41.03749,28.97505,Entire home/apt,206,5,40,0.47,364,,
Pasha,Mehmet Ali,Beyoglu,41.02871,28.97935,Entire home/apt,453,5,1,0.01,181,,
